nombre,asientos,total,si,no,abs,novota,dias_no_vota,dias_vota_algo,dias_vota_todo
"Pérez Domínguez, María Soledad","1403, 1306",330,210,91,29,0,0,0,43
"Pérez Fernández, Rosana",2702,24,20,3,1,0,0,0,5
"Pérez Insua, Antonio","2706, 2811",330,121,207,0,2,0,2,41
"Pérez Lapazarán, José Cruz","5803, 3508, 3510",330,123,191,1,15,1,0,42
"Pérez Rubalcaba, Alfredo",1201,330,121,54,16,139,20,0,23
"Quevedo Iturbe, Pedro",2802,330,165,32,33,100,12,3,28
"Quintanilla Barba, María del Carmen","3819, 2614",330,117,196,0,17,2,2,39
"Rajoy Brey, Mariano",3108,330,47,22,0,261,32,2,9
"Ramis Socias, Miquel","3818, 2515",330,121,207,0,2,0,1,42
"Ramón Utrabo, Elvira","1413, 1707",330,203,89,31,7,1,3,39
"Rangel Tarrés, Joan","1710, 1408",330,210,91,24,5,1,0,42
"Riera i Reñé, Inmaculada",2307,330,174,53,59,44,7,1,35
"Robles Orozco, Gonzalo",3302,7,3,4,0,0,0,0,1
"Rodríguez Flores, María Carmen",3613,24,4,20,0,0,0,0,5
"Rodríguez García, Isabel","1614, 1810",330,208,92,28,2,0,2,41
"Rodríguez Herrer, María Elvira","3301, 3415",298,117,178,1,2,0,1,35
"Rodríguez Maniega, María del Carmen","3817, 2507, 2509",330,122,208,0,0,0,0,43
"Rodríguez Ramos, María Soraya","1611, 1202",330,199,88,26,17,2,0,41
"Rodríguez Ramírez, María José","1414, 1706",330,195,89,30,16,2,0,41
"Rodríguez Sánchez, María Felicidad","3816, 2606, 2607",330,121,208,1,0,0,0,43
"Rodríguez-Piñero Fernández, Inmaculada","1311, 1209",330,163,68,22,77,10,0,33
"Rodríguez-Ponga Salamanca, Rafael","3415, 3302, 3408",104,39,65,0,0,0,0,15
"Rodríguez-Salmones Cabeza, Beatriz",3207,330,110,188,0,32,4,0,39
"Romero Girón, Aurelio","3814, 2613",330,123,207,0,0,0,0,43
"Romero Hernández, Carmelo","3813, 3804",330,122,208,0,0,0,0,43
"Romero Rodríguez, María Eugenia","3812, 3710, 3713",330,115,186,1,28,5,0,38
"Romero Sánchez, Rosa María","3811, 3606, 3608",330,122,208,0,0,0,0,43
"Román Jasanada, Antonio","3815, 2510, 3602",330,122,208,0,0,0,0,43
"Ros Martínez, Susana","4602, 4705",330,208,92,30,0,0,0,43
"Ruano Gómez, Juan de Dios","3810, 2604, 3504",330,122,208,0,0,0,0,43
"Ruiz Llamas, Román","1709, 4604",330,208,89,25,8,1,2,40
"Ruiz i Carbonell, Joan","1705, 4602",330,202,88,24,16,2,1,40
"Ruiz-Gallardón Jiménez, Alberto",3105,330,99,167,0,64,8,1,34
"Rumí Ibáñez, María Consuelo","1407, 1514",330,210,89,24,7,1,1,41
"Sahuquillo García, Luis Carlos","1615, 1811, 1814",330,207,92,31,0,0,0,43
"Salvador Armendáriz, Carlos Casimiro",2807,330,130,166,19,15,2,4,37
"Santa Ana Fernández, María de la Concepción de","3807, 3707, 3710",330,121,207,0,2,1,1,41
"Saura García, Pedro","1815, 1409",330,213,92,25,0,0,0,43
"Seara Sobrado, Laura Carmen","1806, 1608, 1607",330,181,83,28,38,4,3,36
"Segura Clavell, José","4704, 1505",330,196,85,31,18,2,2,39
"Serrano Argüello, María Arenales","3806, 3711, 3714",330,122,208,0,0,0,0,43
"Serrano Calurano, Bibiano","3805, 2608, 2504",330,120,208,1,1,0,1,42
"Serrano Coronado, Daniel","3804, 3716, 5703",330,120,205,0,5,1,0,42
"Serrano Martínez, José Enrique","1812, 1805",330,208,93,24,5,0,2,41
"Sicilia Alférez, Felipe Jesús","1517, 1708",330,207,90,32,1,0,1,42
"Silva Rego, María del Carmen",7,330,141,64,22,103,16,1,26
"Simancas Simancas, Rafael","1813, 1307",330,196,84,19,31,3,0,40
"Sixto Iglesias, Ricardo",1701,330,184,77,40,29,4,3,36
"Soler Sicilia, Albert","1708, 4605",330,210,89,25,6,2,0,41
"Solsona Aixalà, Marc",2303,330,183,48,63,36,3,1,39
"Soravilla Fernández, Roberto","3803, 3611, 3613, -1",298,95,152,0,51,4,4,28
"Soria López, José Manuel",2101,330,53,92,0,185,26,2,15
"Sumelzo Jordán, Susana","1509, 1715",330,211,92,26,1,0,1,42
"Surroca i Comas, Montserrat",2306,330,185,54,58,33,4,0,39
"Susinos Tarrero, María Jesús","2820, 3702, 3705",330,119,203,0,8,1,0,42
"Suárez Lamata, Eloy","3802, 3612, 3614",330,122,207,0,1,0,1,42
"Suárez-Bárcena Blasco, María Cristina","2713, 2811",217,80,136,0,1,0,1,25
"Sáenz de Santamaría Antón, María Soraya",3107,330,103,184,1,42,7,1,35
"Sáez Jubero, Àlex","1706, 4603",330,212,92,26,0,0,0,43
"Sánchez Amor, José Ignacio",1802,330,186,84,25,35,2,2,39
"Sánchez Barrera, José Juan","3415, 2810",25,4,21,0,0,0,0,6
"Sánchez Díaz, María Carmen",1204,330,213,91,24,2,0,2,41
"Sánchez Díaz, Ovidio","3409, 3410, 3403, 3402",330,122,208,0,0,0,0,43
"Sánchez García, Celinda","3808, 2508, 2510",330,123,206,0,1,0,1,42
"Sánchez de Alcázar Ocaña, Miguel","3809, 3802, 3801",330,122,208,0,0,0,0,43
"Sánchez i Llibre, Josep",2205,330,185,58,63,24,2,1,40
"Tapia Otaegi, Arantza",2301,330,183,48,73,26,4,1,38
"Tardà i Coma, Joan",2502,330,181,61,64,24,3,1,39
"Tarno Blanco, Ricardo","2819, 2611",330,119,198,2,11,2,2,39
"Tarruella Tomás, María Concepció",2310,330,195,60,62,13,2,2,39
"Tomé Muguruza, Baudilio","3306, 3503",42,13,23,0,6,2,0,5
"Torrado de Castro, Marta",3205,330,122,208,0,0,0,0,43
"Torres Herrera, Manuel Luis","2818, 3812, 3811",330,122,208,0,0,0,0,43
"Torres Mora, José Andrés","1405, 1605",330,208,92,30,0,0,0,43
"Trevín Lombán, Antonio Ramón María","1507, 1512",330,195,82,23,30,3,1,39
"Trillo-Figueroa Martínez-Conde, Federico","3308, 3307, 3305",110,32,45,0,33,4,2,10
"Tudanca Fernández, Luis","1605, 1818",330,208,91,25,6,2,0,41
"Urbina Fernández, Iker",2804,330,37,16,33,244,23,18,2
"Uriarte Ayala, Ignacio","2817, 3514, 2608",330,120,201,0,9,1,0,42
"Valenciano Martínez-Orozco, Elena","1207, 1301",330,118,51,14,147,16,4,23
"Valerio Cordero, Magdalena","1616, 1809",330,193,89,28,20,2,4,37
"Vallès Vives, Francesc","1704, 1615",330,198,83,23,26,4,0,39
"Vañó Ferre, Francisco","3801, 2821",330,116,189,0,25,3,0,40
"Vera Pró, Juan Carlos","3309, 3308, 3307",330,122,207,0,1,0,1,42
