Nombre,"Legis I","Legis II","Legis III","Legis IV","Legis V","Legis VI","Legis VII","Legis VIII","Legis IX"
"José Cruz Pérez Lapazarán",0,0,0,0,0,1,1,0,0
"José María Alonso Ruiz",0,0,0,0,0,0,0,0,0
"Enrique Álvarez Sostres",0,0,0,0,0,0,0,0,0
"Joan Josep Nuet Pujals",0,0,0,0,0,0,0,0,0
"Rafael Merino López",0,0,0,0,0,0,1,1,1
"Eduardo Madina Muñoz",0,0,0,0,0,0,0,1,1
"Joan Rangel Tarrés",0,0,0,0,0,0,0,0,0
"Román Ruiz Llamas",0,0,0,0,0,0,0,0,1
"Ignacio Astarloa Huarte-Mendicoa",0,0,0,0,0,0,0,1,1
"Aitor Esteban Bravo",0,0,0,0,0,0,0,1,1
"Emilio Olabarría Muñoz",0,0,1,1,1,1,0,1,1
"María Luz Bajo Prieto",0,0,0,0,0,0,0,0,0
"Manuel María Chaves González",1,1,1,1,0,0,0,0,0
"Belén Hoyo Juliá",0,0,0,0,0,0,0,0,0
"Ignacio Uriarte Ayala",0,0,0,0,0,0,0,0,1
"José Miguel Castillo Calvín",0,0,0,0,0,0,0,0,0
"María Soraya Rodríguez Ramos",0,0,0,0,0,0,0,1,1
"Lourdes Méndez Monasterio",0,0,0,0,0,0,0,1,1
"José Alberto Martín-Toledano Suárez",0,0,0,0,0,0,0,0,0
"Ricardo Sixto Iglesias",0,0,0,0,0,0,0,0,0
"Carlos Javier Floriano Corrales",0,0,0,0,0,0,0,0,1
"Marta González Vázquez",0,0,0,0,0,0,0,0,0
"María Luisa Carcedo Roces",0,0,0,0,0,0,0,1,1
"Eugenio Nasarre Goicoechea",0,0,0,0,0,0,1,1,1
"José Luis Ábalos Meco",0,0,0,0,0,0,0,0,1
"Laura Carmen Seara Sobrado",0,0,0,0,0,0,0,0,0
"Inmaculada Rodríguez-Piñero Fernández",0,0,0,0,0,0,0,0,1
"Alejandro Fernández Álvarez",0,0,0,0,0,0,0,0,0
"Antonio Cantó García del Moral",0,0,0,0,0,0,0,0,0
"José López Garrido",0,0,0,0,0,0,0,0,0
"José Martínez Olmos",0,0,0,0,0,0,0,0,0
"Susana Camarero Benítez",0,0,0,0,0,0,1,1,1
"Rubén Moreno Palanques",0,0,0,0,0,0,0,0,0
"Pere Macias i Arau",0,0,0,0,0,0,0,0,1
"Mª Olaia Fernández Davila",0,0,0,0,0,0,0,1,1
"Isabel Rodríguez García",0,0,0,0,0,0,0,0,0
"José María Barreda Fontes",0,0,0,0,0,0,0,0,0
"Joan Tardà i Coma",0,0,0,0,0,0,0,1,1
"Alfred Bosch i Pascual",0,0,0,0,0,0,0,0,0
"Mª Ángeles Esteller Ruedas",0,0,0,0,0,0,0,0,0
"Eduardo Fernández García",0,0,0,0,0,0,0,0,0
"María del Carmen Quintanilla Barba",0,0,0,0,0,0,1,1,1
"Alfredo Pérez Rubalcaba",0,0,0,0,1,1,1,1,1
"Ramón Jáuregui Atondo",0,0,0,0,0,0,1,1,1
"Ricardo Tarno Blanco",0,0,0,0,0,0,0,0,1
"Jorge Fernández Díaz",0,0,0,1,1,1,1,1,1
"Carmen Montón Giménez",0,0,0,0,0,0,0,1,1
"José Ignacio Sánchez Amor",0,0,0,0,0,0,0,0,0
"Ana María Oramas González-Moro",0,0,0,0,0,0,0,1,1
"José María Benegas Haddad",1,1,0,1,1,1,1,1,1
"Rosa María Romero Sánchez",0,0,0,0,0,0,1,0,0
"Gerardo Camps Devesa",0,0,0,0,1,1,1,0,0
"María Belén Juste Picón",0,0,0,0,0,0,0,0,0
"Esteban González Pons",0,0,0,0,0,0,0,0,1
"Feliu-Joan Guillaumes i Ràfols",0,0,0,0,1,0,0,0,0
"María Virtudes Monteserín Rodríguez",0,0,0,0,0,0,0,1,1
"Antonio Ramón María Trevín Lombán",0,0,0,0,0,0,0,0,0
"Ignacio Gil Lázaro",0,1,1,0,1,1,1,1,1
"José Antonio Bermúdez de Castro Fernández",0,0,0,0,0,1,1,1,1
"María Arenales Serrano Argüello",0,0,0,0,0,0,0,0,0
"Diego López Garrido",0,0,0,0,1,1,1,1,1
"Ciprià Císcar Casabán",0,0,0,1,1,1,1,1,1
"Meritxell Batet Lamaña",0,0,0,0,0,0,0,1,1
"Albert Soler Sicilia",0,0,0,0,0,0,0,0,0
"Odón Elorza González",0,0,0,0,0,0,0,0,0
"Pedro Quevedo Iturbe",0,0,0,0,0,0,0,0,0
"Rafael Larreina Valderrama",0,0,0,0,0,0,0,0,0
"Esperança Esteve Ortega",0,0,0,0,0,0,0,1,1
"Laia Ortiz Castellví",0,0,0,0,0,0,0,0,0
"Jorge Moragas Sánchez",0,0,0,0,0,0,0,1,1
"Santiago Martínez Rodríguez",0,0,0,0,0,0,0,0,0
"María del Carmen Rodríguez Maniega",0,0,0,0,0,0,0,0,1
"Amparo Ferrando Sendra",0,0,0,0,0,0,1,1,1
"Macarena Montesinos de Miguel",0,0,0,0,0,0,0,1,1
"Antonio Pérez Insua",0,0,0,0,0,0,0,0,0
"María Piedra Escrita Jiménez Díaz",0,0,0,0,0,0,0,0,0
"María Teresa Martín Pozo",0,0,0,0,0,0,0,0,0
"Rogelio Araújo Gil",0,0,0,0,0,0,0,0,0
"Ildefonso R. Pastor González",0,0,0,0,0,0,0,0,0
"Javier Puente Redondo",0,0,0,0,0,0,0,0,0
"Teodoro García Egea",0,0,0,0,0,0,0,0,0
"Enrique Luis Martín Rodríguez",0,0,0,0,0,0,0,0,0
"María Teresa Cobaleda Hernández",0,0,0,0,0,0,0,0,0
"Encarnación Jiménez Mínguez",0,0,0,0,0,0,0,0,0
"Sara Cobos Trallero",0,0,0,0,0,0,0,0,0
"Gracia Fernández Moya",0,0,0,0,0,0,0,0,0
"Concepción González Gutiérrez",0,0,0,0,0,0,0,1,0
"María de los Ángeles Fernández-Ahuja García",0,0,0,0,0,0,0,0,0
"Julia de Micheo Carrillo-Albornoz",0,0,0,0,0,0,0,0,0
"María del Mar Baena Azuaga",0,0,0,0,0,0,0,0,0
"Patricia Blanquer Alcaraz",0,0,0,0,0,0,0,0,0
"José Juan Sánchez Barrera",0,0,0,0,0,0,0,0,0
"María Carmen Rodríguez Flores",0,0,0,0,0,0,0,0,0
"Rosana Pérez Fernández",0,0,0,0,0,0,0,0,0
"María Paloma Rodríguez Vázquez",0,0,0,0,0,0,0,0,0
"Pilar Marcos Domínguez",0,0,0,0,0,0,0,0,0
"Germán Rodríguez Sánchez",0,0,0,0,0,0,0,0,0
"Isabel Sánchez Robles",0,0,0,0,0,0,0,0,0
"Joseba Andoni Agirretxea Urresti",0,0,0,0,0,0,0,0,1
"Pedro Sánchez Pérez-Castejón",0,0,0,0,0,0,0,0,1
"María Luisa González Santín",0,0,0,0,0,0,0,0,0
